Layer 1 channels before pruning: 32
Final mAP_0.5:0.95=0.4699509944009909, mAP_0.5=0.6774700887763841, precision=0.7145318711554176, recall=0.6147739586500011
Per-class mAP@0.5:
Class 0: 0.5398
Class 1: 0.5334
Class 2: 0.4057
Class 3: 0.2901
Class 4: 0.3368
Class 5: 0.6428
Class 6: 0.5726
Class 7: 0.5693
Class 8: 0.3342
Class 9: 0.4526
Class 10: 0.3706
Class 11: 0.5291
Class 12: 0.5866
Class 13: 0.5284
Class 14: 0.5583
Class 15: 0.2297
Class 16: 0.4926
Class 17: 0.4026
Class 18: 0.5827
Class 19: 0.4412
Final mAP_0.5:0.95=0.46540536837194907, mAP_0.5=0.6751066982855141, precision=0.7407107812800224, recall=0.5922820479545208
Per-class mAP@0.5:
Class 0: 0.5237
Class 1: 0.5414
Class 2: 0.4022
Class 3: 0.2921
Class 4: 0.3389
Class 5: 0.6333
Class 6: 0.5685
Class 7: 0.5675
Class 8: 0.3253
Class 9: 0.4465
Class 10: 0.3575
Class 11: 0.5301
Class 12: 0.5768
Class 13: 0.5279
Class 14: 0.5593
Class 15: 0.2310
Class 16: 0.5021
Class 17: 0.3893
Class 18: 0.5608
Class 19: 0.4338
